id,type,app,module,message,DES.src,DES.dst,TOPO.src,TOPO.dst,module.src,service,time_in,time_out,time_emit,time_reception
27,COMP_M,6G_DRONE_3,Image_Acquisition,Image_Acquirement,18,45,12,15,Camera,0.0,10010,10010.0,10010.0,10010.0
28,COMP_M,6G_DRONE_3,IMU_Measurement_Acquisition,Inertial_Data_Acquirement,19,46,13,15,IMU,0.0,10010,10010.0,10010.0,10010.0
29,COMP_M,6G_DRONE_4,Image_Acquisition,Image_Acquirement,24,50,16,19,Camera,0.0,10010,10010.0,10010.0,10010.0
30,COMP_M,6G_DRONE_4,IMU_Measurement_Acquisition,Inertial_Data_Acquirement,25,51,17,19,IMU,0.0,10010,10010.0,10010.0,10010.0
11,COMP_M,6G_DRONE_0,Feature_Extraction,Image,30,32,3,1966,Image_Acquisition,26.632,10823.180996992,10849.812996992,10000.0,10823.180996992
13,COMP_M,6G_DRONE_1,Feature_Extraction,Image,35,37,7,1966,Image_Acquisition,26.632,10823.222153984,10849.854153983999,10000.0,10823.222153984
15,COMP_M,6G_DRONE_2,Feature_Extraction,Image,40,42,11,1966,Image_Acquisition,26.632,10823.263310975999,10849.895310975999,10000.0,10823.263310975999
17,COMP_M,6G_DRONE_3,Feature_Extraction,Image,45,47,15,1966,Image_Acquisition,26.632,10823.304467967999,10849.936467967998,10000.0,10823.304467967999
19,COMP_M,6G_DRONE_4,Feature_Extraction,Image,50,52,19,1966,Image_Acquisition,26.632,10823.345624959999,10849.977624959998,10000.0,10823.345624959999
12,COMP_M,6G_DRONE_0,MSCKF_Update,Inertial_Data,31,33,3,1966,IMU_Measurement_Acquisition,0.0,10823.34562524,10823.34562524,10000.0,10823.34562524
14,COMP_M,6G_DRONE_1,MSCKF_Update,Inertial_Data,36,38,7,1966,IMU_Measurement_Acquisition,0.0,10823.34562552,10823.34562552,10000.0,10823.34562552
16,COMP_M,6G_DRONE_2,MSCKF_Update,Inertial_Data,41,43,11,1966,IMU_Measurement_Acquisition,0.0,10823.3456258,10823.3456258,10000.0,10823.3456258
18,COMP_M,6G_DRONE_3,MSCKF_Update,Inertial_Data,46,48,15,1966,IMU_Measurement_Acquisition,0.0,10823.345626080001,10823.345626080001,10000.0,10823.345626080001
20,COMP_M,6G_DRONE_4,MSCKF_Update,Inertial_Data,51,53,19,1966,IMU_Measurement_Acquisition,0.0,10823.345626360002,10823.345626360002,10000.0,10823.345626360002
11,COMP_M,6G_DRONE_0,MSCKF_Update,Extracted Features,32,33,1966,1966,Feature_Extraction,2.955,10849.812996992,10852.767996992,10849.812996992,10849.812996992
13,COMP_M,6G_DRONE_1,MSCKF_Update,Extracted Features,37,38,1966,1966,Feature_Extraction,2.955,10849.854153983999,10852.809153983999,10849.854153983999,10849.854153983999
15,COMP_M,6G_DRONE_2,MSCKF_Update,Extracted Features,42,43,1966,1966,Feature_Extraction,2.955,10849.895310975999,10852.850310975999,10849.895310975999,10849.895310975999
17,COMP_M,6G_DRONE_3,MSCKF_Update,Extracted Features,47,48,1966,1966,Feature_Extraction,2.955,10849.936467967998,10852.891467967998,10849.936467967998,10849.936467967998
19,COMP_M,6G_DRONE_4,MSCKF_Update,Extracted Features,52,53,1966,1966,Feature_Extraction,2.955,10849.977624959998,10852.932624959998,10849.977624959998,10849.977624959998
11,COMP_M,6G_DRONE_0,Prediction,Corrected_Pose,33,34,1966,3,MSCKF_Update,0.0,10852.769117048,10852.769117048,10852.767996992,10852.769117048
11,SINK_M,6G_DRONE_0,Pose_Correction,Pose_Prediction,34,2,3,2,Prediction,0,10852.769117048,10852.769117048,10852.769117048,10852.769117048
13,COMP_M,6G_DRONE_1,Prediction,Corrected_Pose,38,39,1966,7,MSCKF_Update,0.0,10852.810274039999,10852.810274039999,10852.809153983999,10852.810274039999
13,SINK_M,6G_DRONE_1,Pose_Correction,Pose_Prediction,39,8,7,6,Prediction,0,10852.810274039999,10852.810274039999,10852.810274039999,10852.810274039999
15,COMP_M,6G_DRONE_2,Prediction,Corrected_Pose,43,44,1966,11,MSCKF_Update,0.0,10852.851431031999,10852.851431031999,10852.850310975999,10852.851431031999
15,SINK_M,6G_DRONE_2,Pose_Correction,Pose_Prediction,44,14,11,10,Prediction,0,10852.851431031999,10852.851431031999,10852.851431031999,10852.851431031999
17,COMP_M,6G_DRONE_3,Prediction,Corrected_Pose,48,49,1966,15,MSCKF_Update,0.0,10852.892588023999,10852.892588023999,10852.891467967998,10852.892588023999
17,SINK_M,6G_DRONE_3,Pose_Correction,Pose_Prediction,49,20,15,14,Prediction,0,10852.892588023999,10852.892588023999,10852.892588023999,10852.892588023999
19,COMP_M,6G_DRONE_4,Prediction,Corrected_Pose,53,54,1966,19,MSCKF_Update,0.0,10852.933745015998,10852.933745015998,10852.932624959998,10852.933745015998
19,SINK_M,6G_DRONE_4,Pose_Correction,Pose_Prediction,54,26,19,18,Prediction,0,10852.933745015998,10852.933745015998,10852.933745015998,10852.933745015998
21,COMP_M,6G_DRONE_0,Feature_Extraction,Image,30,32,3,1966,Image_Acquisition,26.632,11646.326436992,11672.958436992,10010.0,11646.326436992
23,COMP_M,6G_DRONE_1,Feature_Extraction,Image,35,37,7,1966,Image_Acquisition,26.632,11646.367593984,11672.999593984,10010.0,11646.367593984
25,COMP_M,6G_DRONE_2,Feature_Extraction,Image,40,42,11,1966,Image_Acquisition,26.632,11646.408750976,11673.040750975999,10010.0,11646.408750976
27,COMP_M,6G_DRONE_3,Feature_Extraction,Image,45,47,15,1966,Image_Acquisition,26.632,11646.449907967999,11673.081907967999,10010.0,11646.449907967999
29,COMP_M,6G_DRONE_4,Feature_Extraction,Image,50,52,19,1966,Image_Acquisition,26.632,11646.491064959999,11673.123064959998,10010.0,11646.491064959999
22,COMP_M,6G_DRONE_0,MSCKF_Update,Inertial_Data,31,33,3,1966,IMU_Measurement_Acquisition,0.0,11646.49106524,11646.49106524,10010.0,11646.49106524
24,COMP_M,6G_DRONE_1,MSCKF_Update,Inertial_Data,36,38,7,1966,IMU_Measurement_Acquisition,0.0,11646.49106552,11646.49106552,10010.0,11646.49106552
26,COMP_M,6G_DRONE_2,MSCKF_Update,Inertial_Data,41,43,11,1966,IMU_Measurement_Acquisition,0.0,11646.4910658,11646.4910658,10010.0,11646.4910658
28,COMP_M,6G_DRONE_3,MSCKF_Update,Inertial_Data,46,48,15,1966,IMU_Measurement_Acquisition,0.0,11646.491066080001,11646.491066080001,10010.0,11646.491066080001
30,COMP_M,6G_DRONE_4,MSCKF_Update,Inertial_Data,51,53,19,1966,IMU_Measurement_Acquisition,0.0,11646.491066360002,11646.491066360002,10010.0,11646.491066360002
21,COMP_M,6G_DRONE_0,MSCKF_Update,Extracted Features,32,33,1966,1966,Feature_Extraction,2.955,11672.958436992,11675.913436992,11672.958436992,11672.958436992
23,COMP_M,6G_DRONE_1,MSCKF_Update,Extracted Features,37,38,1966,1966,Feature_Extraction,2.955,11672.999593984,11675.954593983999,11672.999593984,11672.999593984
25,COMP_M,6G_DRONE_2,MSCKF_Update,Extracted Features,42,43,1966,1966,Feature_Extraction,2.955,11673.040750975999,11675.995750975999,11673.040750975999,11673.040750975999
27,COMP_M,6G_DRONE_3,MSCKF_Update,Extracted Features,47,48,1966,1966,Feature_Extraction,2.955,11673.081907967999,11676.036907967999,11673.081907967999,11673.081907967999
29,COMP_M,6G_DRONE_4,MSCKF_Update,Extracted Features,52,53,1966,1966,Feature_Extraction,2.955,11673.123064959998,11676.078064959998,11673.123064959998,11673.123064959998
21,COMP_M,6G_DRONE_0,Prediction,Corrected_Pose,33,34,1966,3,MSCKF_Update,0.0,11675.914557048,11675.914557048,11675.913436992,11675.914557048
21,SINK_M,6G_DRONE_0,Pose_Correction,Pose_Prediction,34,2,3,2,Prediction,0,11675.914557048,11675.914557048,11675.914557048,11675.914557048
23,COMP_M,6G_DRONE_1,Prediction,Corrected_Pose,38,39,1966,7,MSCKF_Update,0.0,11675.95571404,11675.95571404,11675.954593983999,11675.95571404
23,SINK_M,6G_DRONE_1,Pose_Correction,Pose_Prediction,39,8,7,6,Prediction,0,11675.95571404,11675.95571404,11675.95571404,11675.95571404
25,COMP_M,6G_DRONE_2,Prediction,Corrected_Pose,43,44,1966,11,MSCKF_Update,0.0,11675.996871031999,11675.996871031999,11675.995750975999,11675.996871031999
25,SINK_M,6G_DRONE_2,Pose_Correction,Pose_Prediction,44,14,11,10,Prediction,0,11675.996871031999,11675.996871031999,11675.996871031999,11675.996871031999
27,COMP_M,6G_DRONE_3,Prediction,Corrected_Pose,48,49,1966,15,MSCKF_Update,0.0,11676.038028023999,11676.038028023999,11676.036907967999,11676.038028023999
27,SINK_M,6G_DRONE_3,Pose_Correction,Pose_Prediction,49,20,15,14,Prediction,0,11676.038028023999,11676.038028023999,11676.038028023999,11676.038028023999
29,COMP_M,6G_DRONE_4,Prediction,Corrected_Pose,53,54,1966,19,MSCKF_Update,0.0,11676.079185015999,11676.079185015999,11676.078064959998,11676.079185015999
29,SINK_M,6G_DRONE_4,Pose_Correction,Pose_Prediction,54,26,19,18,Prediction,0,11676.079185015999,11676.079185015999,11676.079185015999,11676.079185015999
